Cell_ID,Temp_Group,t,V_mea,SOC_mea,V_10,I_m,R,I_flag,T_env,dT,SOC_true,OCV_GITT_true
YX01,10C,450,3.5104691982269287,1.0,3.589967966079712,1.8346588560438009,-0.005768853173226599,1,12.978969152664273,-0.33394526982239015,1.0,3.4714558124542236
YX01,10C,480,3.5084238052368164,1.0,3.589967966079712,1.8346588560438009,-0.005768853173226599,1,12.978969152664273,-0.3055778105011875,1.0,3.4714558124542236
YX01,10C,510,3.506998300552368,1.0,3.589967966079712,1.8346588560438009,-0.005768853173226599,1,12.978969152664273,-0.3779407102814609,1.0,3.4714558124542236
YX01,10C,540,3.5052731037139893,1.0,3.589967966079712,1.8346588560438009,-0.005768853173226599,1,12.978969152664273,-0.35594039747628514,1.0,3.4714558124542236
YX01,10C,570,3.5037615299224854,1.0,3.589967966079712,1.8346588560438009,-0.005768853173226599,1,12.978969152664273,-0.36716949811407495,1.0,3.4714558124542236
YX01,10C,600,3.5025484561920166,1.0,3.589967966079712,1.8346588560438009,-0.005768853173226599,1,12.978969152664273,-0.368158872818082,1.0,3.4714558124542236
YX01,10C,30,3.2685601711273193,0.7348916543715441,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,0.010283470153808594,0.5084220966156645,3.1634857256815296
YX01,10C,60,3.2704761028289795,0.7390211094766801,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,0.054477691650390625,0.5084220966156645,3.1634857256815296
YX01,10C,90,3.271751642227173,0.7417703111706171,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,-0.006360054016113281,0.5084220966156645,3.1634857256815296
YX01,10C,120,3.272472620010376,0.7433242524645358,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,-0.03495216369628906,0.5084220966156645,3.1634857256815296
YX01,10C,150,3.2730939388275146,0.7446633963176946,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,0.03248023986816406,0.5084220966156645,3.1634857256815296
YX01,10C,180,3.273883581161499,0.746365332020558,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,0.009540557861328125,0.5084220966156645,3.1634857256815296
YX01,10C,210,3.274294137954712,0.7472502152573729,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,0.038872718811035156,0.5084220966156645,3.1634857256815296
YX01,10C,240,3.2747678756713867,0.7482712739051958,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,0.015639305114746094,0.5084220966156645,3.1634857256815296
YX01,10C,270,3.275010824203491,0.7487949069007326,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,0.004927635192871094,0.5084220966156645,3.1634857256815296
YX01,10C,300,3.275547981262207,0.7499526548290392,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,0.01881885528564453,0.5084220966156645,3.1634857256815296
YX01,10C,330,3.2757883071899414,0.7504706352603454,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,0.010054588317871094,0.5084220966156645,3.1634857256815296
YX01,10C,360,3.276170253753662,0.7512938541601,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,0.04694843292236328,0.5084220966156645,3.1634857256815296
YX01,10C,390,3.276533842086792,0.7520775051102409,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,0.0845804214477539,0.5084220966156645,3.1634857256815296
YX01,10C,420,3.2766900062561035,0.7524140896166949,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,-0.013924598693847656,0.5084220966156645,3.1634857256815296
YX01,10C,450,3.277041435241699,0.7531715332235851,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,0.004155158996582031,0.5084220966156645,3.1634857256815296
YX01,10C,480,3.2771897315979004,0.7534911600373475,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,0.03938770294189453,0.5084220966156645,3.1634857256815296
YX01,10C,510,3.277224540710449,0.7535661849807709,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,0.06820201873779297,0.5084220966156645,3.1634857256815296
YX01,10C,540,3.2777416706085205,0.7546807678731352,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,0.03468894958496094,0.5084220966156645,3.1634857256815296
YX01,10C,570,3.277724266052246,0.7546432554014235,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,0.02592182159423828,0.5084220966156645,3.1634857256815296
YX01,10C,600,3.277902126312256,0.7550266020301482,3.266251802444458,-0.2457883049266801,-0.00939169454604411,1,12.603750228881836,-0.04640674591064453,0.5084220966156645,3.1634857256815296
YX01,10C,30,3.57885479927063,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,-0.029266357421875,1.0,3.4714558124542236
YX01,10C,60,3.566005229949951,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,0.008765220642089844,1.0,3.4714558124542236
YX01,10C,90,3.5557477474212646,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,-0.010249137878417969,1.0,3.4714558124542236
YX01,10C,120,3.547086000442505,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,-0.031232833862304688,1.0,3.4714558124542236
YX01,10C,150,3.5396087169647217,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,-0.044898033142089844,1.0,3.4714558124542236
YX01,10C,180,3.533353090286255,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,-0.07710075378417969,1.0,3.4714558124542236
YX01,10C,210,3.5277459621429443,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,-0.04783058166503906,1.0,3.4714558124542236
YX01,10C,240,3.5229854583740234,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,-0.0275726318359375,1.0,3.4714558124542236
YX01,10C,270,3.5183475017547607,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,-0.0026922225952148438,1.0,3.4714558124542236
YX01,10C,300,3.5142734050750732,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,-0.05076408386230469,1.0,3.4714558124542236
YX01,10C,330,3.5107851028442383,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,-0.01907634735107422,1.0,3.4714558124542236
YX01,10C,360,3.5072741508483887,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,-0.05272929083401401,1.0,3.4714558124542236
YX01,10C,390,3.504249334335327,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,-0.012696266174316406,1.0,3.4714558124542236
YX01,10C,420,3.5016417503356934,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,0.00632476806640625,1.0,3.4714558124542236
YX01,10C,450,3.499096632003784,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,-0.06297969818115234,1.0,3.4714558124542236
YX01,10C,480,3.4967284202575684,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,-0.06833362579345703,1.0,3.4714558124542236
YX01,10C,510,3.4943883419036865,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,-0.0678415298461914,1.0,3.4714558124542236
YX01,10C,540,3.492424488067627,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,-0.05099678039550781,1.0,3.4714558124542236
YX01,10C,570,3.490506887435913,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,-0.10660934448242188,1.0,3.4714558124542236
YX01,10C,600,3.4886958599090576,1.0,3.589829921722412,1.9022030143776247,-0.0057696903899467,1,13.652347564697266,-0.07709089879989683,1.0,3.4714558124542236
YX01,10C,30,3.242365598678589,0.6784338428370646,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,0.06418760296844006,0.3118074039214309,3.072262958232978
YX01,10C,60,3.244358777999878,0.6827297916522633,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,0.0021836126997332173,0.3118074039214309,3.072262958232978
YX01,10C,90,3.245774984359741,0.6857821763367465,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,-0.005398197202458377,0.3118074039214309,3.072262958232978
YX01,10C,120,3.246774673461914,0.6879368310475275,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,-0.00928060534454822,0.3118074039214309,3.072262958232978
